Rainfall - (MM), Year, Statistics, Country, ISO3
27.1094, 2000, Sep Average, Spain, ESP
82.6935, 2000, Oct Average, Spain, ESP
104.668, 2000, Nov Average, Spain, ESP
124.951, 2000, Dec Average, Spain, ESP
112.327, 2001, Jan Average, Spain, ESP
42.912, 2001, Feb Average, Spain, ESP
97.2426, 2001, Mar Average, Spain, ESP
24.9473, 2001, Apr Average, Spain, ESP
48.0739, 2001, May Average, Spain, ESP
10.7776, 2001, Jun Average, Spain, ESP
28.6594, 2001, Jul Average, Spain, ESP
16.8895, 2001, Aug Average, Spain, ESP
50.1108, 2001, Sep Average, Spain, ESP
73.4416, 2001, Oct Average, Spain, ESP
40.4585, 2001, Nov Average, Spain, ESP
32.4786, 2001, Dec Average, Spain, ESP
49.2445, 2002, Jan Average, Spain, ESP
22.8528, 2002, Feb Average, Spain, ESP
63.7009, 2002, Mar Average, Spain, ESP
60.1327, 2002, Apr Average, Spain, ESP
77.3271, 2002, May Average, Spain, ESP
39.0114, 2002, Jun Average, Spain, ESP
19.3605, 2002, Jul Average, Spain, ESP
41.7236, 2002, Aug Average, Spain, ESP
53.2842, 2002, Sep Average, Spain, ESP
75.7917, 2002, Oct Average, Spain, ESP
91.4715, 2002, Nov Average, Spain, ESP
90.9098, 2002, Dec Average, Spain, ESP
77.3259, 2003, Jan Average, Spain, ESP
75.4788, 2003, Feb Average, Spain, ESP
50.1003, 2003, Mar Average, Spain, ESP
58.1979, 2003, Apr Average, Spain, ESP
40.9678, 2003, May Average, Spain, ESP
21.3113, 2003, Jun Average, Spain, ESP
11.8637, 2003, Jul Average, Spain, ESP
27.3102, 2003, Aug Average, Spain, ESP
47.4819, 2003, Sep Average, Spain, ESP
136.96, 2003, Oct Average, Spain, ESP
82.5493, 2003, Nov Average, Spain, ESP
62.821, 2003, Dec Average, Spain, ESP
36.69, 2004, Jan Average, Spain, ESP
63.5696, 2004, Feb Average, Spain, ESP
75.1449, 2004, Mar Average, Spain, ESP
58.9823, 2004, Apr Average, Spain, ESP
76.6371, 2004, May Average, Spain, ESP
18.2896, 2004, Jun Average, Spain, ESP
17.4585, 2004, Jul Average, Spain, ESP
28.1541, 2004, Aug Average, Spain, ESP
22.1027, 2004, Sep Average, Spain, ESP
88.9284, 2004, Oct Average, Spain, ESP
29.687, 2004, Nov Average, Spain, ESP
49.6099, 2004, Dec Average, Spain, ESP
9.77897, 2005, Jan Average, Spain, ESP
44.9218, 2005, Feb Average, Spain, ESP
29.3116, 2005, Mar Average, Spain, ESP
36.2519, 2005, Apr Average, Spain, ESP
35.6245, 2005, May Average, Spain, ESP
18.1577, 2005, Jun Average, Spain, ESP
6.54109, 2005, Jul Average, Spain, ESP
15.3042, 2005, Aug Average, Spain, ESP
30.9627, 2005, Sep Average, Spain, ESP
104.723, 2005, Oct Average, Spain, ESP
69.1407, 2005, Nov Average, Spain, ESP
41.7735, 2005, Dec Average, Spain, ESP
58.1469, 2006, Jan Average, Spain, ESP
49.3041, 2006, Feb Average, Spain, ESP
59.6452, 2006, Mar Average, Spain, ESP
44.8662, 2006, Apr Average, Spain, ESP
28.5075, 2006, May Average, Spain, ESP
39.2911, 2006, Jun Average, Spain, ESP
19.298, 2006, Jul Average, Spain, ESP
20.6471, 2006, Aug Average, Spain, ESP
56.3449, 2006, Sep Average, Spain, ESP
105.104, 2006, Oct Average, Spain, ESP
95.9403, 2006, Nov Average, Spain, ESP
40.4618, 2006, Dec Average, Spain, ESP
36.14, 2007, Jan Average, Spain, ESP
64.95, 2007, Feb Average, Spain, ESP
53.5217, 2007, Mar Average, Spain, ESP
88.154, 2007, Apr Average, Spain, ESP
76.7608, 2007, May Average, Spain, ESP
35.2152, 2007, Jun Average, Spain, ESP
9.36737, 2007, Jul Average, Spain, ESP
29.9601, 2007, Aug Average, Spain, ESP
39.8012, 2007, Sep Average, Spain, ESP
56.5551, 2007, Oct Average, Spain, ESP
38.3994, 2007, Nov Average, Spain, ESP
27.1265, 2007, Dec Average, Spain, ESP
41.7682, 2008, Jan Average, Spain, ESP
43.3597, 2008, Feb Average, Spain, ESP
30.9283, 2008, Mar Average, Spain, ESP
88.3209, 2008, Apr Average, Spain, ESP
116.536, 2008, May Average, Spain, ESP
38.2755, 2008, Jun Average, Spain, ESP
18.0281, 2008, Jul Average, Spain, ESP
12.6868, 2008, Aug Average, Spain, ESP
41.0643, 2008, Sep Average, Spain, ESP
100.153, 2008, Oct Average, Spain, ESP
53.1556, 2008, Nov Average, Spain, ESP
69.3674, 2008, Dec Average, Spain, ESP
70.1968, 2009, Jan Average, Spain, ESP
45.7961, 2009, Feb Average, Spain, ESP
42.6025, 2009, Mar Average, Spain, ESP
51.9527, 2009, Apr Average, Spain, ESP
26.476, 2009, May Average, Spain, ESP
22.4633, 2009, Jun Average, Spain, ESP
12.2826, 2009, Jul Average, Spain, ESP
15.6636, 2009, Aug Average, Spain, ESP
43.4795, 2009, Sep Average, Spain, ESP
51.6363, 2009, Oct Average, Spain, ESP
51.604, 2009, Nov Average, Spain, ESP
153.026, 2009, Dec Average, Spain, ESP
104.636, 2010, Jan Average, Spain, ESP
112.852, 2010, Feb Average, Spain, ESP
75.2751, 2010, Mar Average, Spain, ESP
51.9081, 2010, Apr Average, Spain, ESP
53.2989, 2010, May Average, Spain, ESP
60.3935, 2010, Jun Average, Spain, ESP
11.0059, 2010, Jul Average, Spain, ESP
18.6416, 2010, Aug Average, Spain, ESP
35.8801, 2010, Sep Average, Spain, ESP
76.1613, 2010, Oct Average, Spain, ESP
67.6889, 2010, Nov Average, Spain, ESP
112.163, 2010, Dec Average, Spain, ESP
52.2767, 2011, Jan Average, Spain, ESP
46.03, 2011, Feb Average, Spain, ESP
74.298, 2011, Mar Average, Spain, ESP
61.5247, 2011, Apr Average, Spain, ESP
53.632, 2011, May Average, Spain, ESP
25.4038, 2011, Jun Average, Spain, ESP
17.7737, 2011, Jul Average, Spain, ESP
19.451, 2011, Aug Average, Spain, ESP
15.9704, 2011, Sep Average, Spain, ESP
39.5478, 2011, Oct Average, Spain, ESP
92.7967, 2011, Nov Average, Spain, ESP
22.15, 2011, Dec Average, Spain, ESP
22.9228, 2012, Jan Average, Spain, ESP
10.099, 2012, Feb Average, Spain, ESP
24.3516, 2012, Mar Average, Spain, ESP
80.7419, 2012, Apr Average, Spain, ESP
35.6746, 2012, May Average, Spain, ESP
19.4769, 2012, Jun Average, Spain, ESP
12.8843, 2012, Jul Average, Spain, ESP
10.4863, 2012, Aug Average, Spain, ESP
56.9582, 2012, Sep Average, Spain, ESP
97.2718, 2012, Oct Average, Spain, ESP
100.922, 2012, Nov Average, Spain, ESP
39.1274, 2012, Dec Average, Spain, ESP
73.4268, 2013, Jan Average, Spain, ESP
67.7084, 2013, Feb Average, Spain, ESP
138.838, 2013, Mar Average, Spain, ESP
67.208, 2013, Apr Average, Spain, ESP
45.7723, 2013, May Average, Spain, ESP
30.0415, 2013, Jun Average, Spain, ESP
18.4614, 2013, Jul Average, Spain, ESP
18.9498, 2013, Aug Average, Spain, ESP
37.9065, 2013, Sep Average, Spain, ESP
61.6907, 2013, Oct Average, Spain, ESP
45.1891, 2013, Nov Average, Spain, ESP
61.3654, 2013, Dec Average, Spain, ESP
83.9056, 2014, Jan Average, Spain, ESP
72.0684, 2014, Feb Average, Spain, ESP
41.1373, 2014, Mar Average, Spain, ESP
42.7219, 2014, Apr Average, Spain, ESP
29.7437, 2014, May Average, Spain, ESP
28.7134, 2014, Jun Average, Spain, ESP
27.1732, 2014, Jul Average, Spain, ESP
15.4817, 2014, Aug Average, Spain, ESP
63.1484, 2014, Sep Average, Spain, ESP
60.0443, 2014, Oct Average, Spain, ESP
126.628, 2014, Nov Average, Spain, ESP
35.2544, 2014, Dec Average, Spain, ESP
48.2442, 2015, Jan Average, Spain, ESP
47.0658, 2015, Feb Average, Spain, ESP
57.3252, 2015, Mar Average, Spain, ESP
43.5405, 2015, Apr Average, Spain, ESP
13.5244, 2015, May Average, Spain, ESP
48.1133, 2015, Jun Average, Spain, ESP
17.0008, 2015, Jul Average, Spain, ESP
26.7117, 2015, Aug Average, Spain, ESP
34.4614, 2015, Sep Average, Spain, ESP
69.1772, 2015, Oct Average, Spain, ESP
48.2492, 2015, Nov Average, Spain, ESP
16.4497, 2015, Dec Average, Spain, ESP
92.25, 2016, Jan Average, Spain, ESP
75.861, 2016, Feb Average, Spain, ESP
60.6704, 2016, Mar Average, Spain, ESP
78.9729, 2016, Apr Average, Spain, ESP
67.1852, 2016, May Average, Spain, ESP
11.9896, 2016, Jun Average, Spain, ESP
15.2409, 2016, Jul Average, Spain, ESP
7.08034, 2016, Aug Average, Spain, ESP
20.4941, 2016, Sep Average, Spain, ESP
57.8528, 2016, Oct Average, Spain, ESP
98.4971, 2016, Nov Average, Spain, ESP
42.0365, 2016, Dec Average, Spain, ESP
