Temperature - (Celsius), Year, Statistics, Country, ISO3
8.58128, 2005, Nov Average, Spain, ESP
5.63483, 2005, Dec Average, Spain, ESP
4.99605, 2006, Jan Average, Spain, ESP
5.80599, 2006, Feb Average, Spain, ESP
10.0954, 2006, Mar Average, Spain, ESP
12.7804, 2006, Apr Average, Spain, ESP
16.809, 2006, May Average, Spain, ESP
20.5719, 2006, Jun Average, Spain, ESP
24.6145, 2006, Jul Average, Spain, ESP
22.3724, 2006, Aug Average, Spain, ESP
20.2672, 2006, Sep Average, Spain, ESP
16.1645, 2006, Oct Average, Spain, ESP
11.5784, 2006, Nov Average, Spain, ESP
6.50893, 2006, Dec Average, Spain, ESP
6.39702, 2007, Jan Average, Spain, ESP
8.77988, 2007, Feb Average, Spain, ESP
9.34927, 2007, Mar Average, Spain, ESP
12.1283, 2007, Apr Average, Spain, ESP
15.5508, 2007, May Average, Spain, ESP
19.0524, 2007, Jun Average, Spain, ESP
22.328, 2007, Jul Average, Spain, ESP
21.9836, 2007, Aug Average, Spain, ESP
19.1968, 2007, Sep Average, Spain, ESP
14.3114, 2007, Oct Average, Spain, ESP
8.78968, 2007, Nov Average, Spain, ESP
6.20239, 2007, Dec Average, Spain, ESP
7.45476, 2008, Jan Average, Spain, ESP
8.77457, 2008, Feb Average, Spain, ESP
9.54534, 2008, Mar Average, Spain, ESP
12.2321, 2008, Apr Average, Spain, ESP
14.5814, 2008, May Average, Spain, ESP
19.6046, 2008, Jun Average, Spain, ESP
22.54, 2008, Jul Average, Spain, ESP
22.792, 2008, Aug Average, Spain, ESP
18.6126, 2008, Sep Average, Spain, ESP
13.8026, 2008, Oct Average, Spain, ESP
8.01934, 2008, Nov Average, Spain, ESP
5.62297, 2008, Dec Average, Spain, ESP
5.387, 2009, Jan Average, Spain, ESP
6.7889, 2009, Feb Average, Spain, ESP
10.1256, 2009, Mar Average, Spain, ESP
10.9928, 2009, Apr Average, Spain, ESP
16.5016, 2009, May Average, Spain, ESP
20.8331, 2009, Jun Average, Spain, ESP
23.1835, 2009, Jul Average, Spain, ESP
24.0078, 2009, Aug Average, Spain, ESP
19.9151, 2009, Sep Average, Spain, ESP
16.114, 2009, Oct Average, Spain, ESP
11.1712, 2009, Nov Average, Spain, ESP
6.63688, 2009, Dec Average, Spain, ESP
5.47328, 2010, Jan Average, Spain, ESP
6.31419, 2010, Feb Average, Spain, ESP
8.4576, 2010, Mar Average, Spain, ESP
12.4541, 2010, Apr Average, Spain, ESP
14.7265, 2010, May Average, Spain, ESP
19.3189, 2010, Jun Average, Spain, ESP
24.206, 2010, Jul Average, Spain, ESP
23.6326, 2010, Aug Average, Spain, ESP
19.5737, 2010, Sep Average, Spain, ESP
13.9401, 2010, Oct Average, Spain, ESP
8.9061, 2010, Nov Average, Spain, ESP
5.86834, 2010, Dec Average, Spain, ESP
6.04457, 2011, Jan Average, Spain, ESP
7.29801, 2011, Feb Average, Spain, ESP
9.09622, 2011, Mar Average, Spain, ESP
13.6407, 2011, Apr Average, Spain, ESP
16.7677, 2011, May Average, Spain, ESP
19.8108, 2011, Jun Average, Spain, ESP
22.3172, 2011, Jul Average, Spain, ESP
23.3899, 2011, Aug Average, Spain, ESP
20.6462, 2011, Sep Average, Spain, ESP
15.9034, 2011, Oct Average, Spain, ESP
10.6646, 2011, Nov Average, Spain, ESP
6.9515, 2011, Dec Average, Spain, ESP
6.01945, 2012, Jan Average, Spain, ESP
4.90406, 2012, Feb Average, Spain, ESP
9.99369, 2012, Mar Average, Spain, ESP
10.5812, 2012, Apr Average, Spain, ESP
16.5249, 2012, May Average, Spain, ESP
20.9634, 2012, Jun Average, Spain, ESP
22.7572, 2012, Jul Average, Spain, ESP
23.8738, 2012, Aug Average, Spain, ESP
19.7314, 2012, Sep Average, Spain, ESP
14.7435, 2012, Oct Average, Spain, ESP
9.74634, 2012, Nov Average, Spain, ESP
7.13371, 2012, Dec Average, Spain, ESP
6.68511, 2013, Jan Average, Spain, ESP
6.30821, 2013, Feb Average, Spain, ESP
9.2779, 2013, Mar Average, Spain, ESP
11.1565, 2013, Apr Average, Spain, ESP
13.5533, 2013, May Average, Spain, ESP
18.7152, 2013, Jun Average, Spain, ESP
23.9226, 2013, Jul Average, Spain, ESP
23.316, 2013, Aug Average, Spain, ESP
20.2531, 2013, Sep Average, Spain, ESP
16.134, 2013, Oct Average, Spain, ESP
9.19735, 2013, Nov Average, Spain, ESP
6.25957, 2013, Dec Average, Spain, ESP
7.54797, 2014, Jan Average, Spain, ESP
7.50248, 2014, Feb Average, Spain, ESP
9.9303, 2014, Mar Average, Spain, ESP
13.4562, 2014, Apr Average, Spain, ESP
15.6182, 2014, May Average, Spain, ESP
20.0436, 2014, Jun Average, Spain, ESP
22.2682, 2014, Jul Average, Spain, ESP
22.7247, 2014, Aug Average, Spain, ESP
20.7094, 2014, Sep Average, Spain, ESP
16.884, 2014, Oct Average, Spain, ESP
11.0028, 2014, Nov Average, Spain, ESP
6.53087, 2014, Dec Average, Spain, ESP
5.93938, 2015, Jan Average, Spain, ESP
6.33092, 2015, Feb Average, Spain, ESP
9.62363, 2015, Mar Average, Spain, ESP
12.6642, 2015, Apr Average, Spain, ESP
16.791, 2015, May Average, Spain, ESP
20.9877, 2015, Jun Average, Spain, ESP
24.573, 2015, Jul Average, Spain, ESP
23.2454, 2015, Aug Average, Spain, ESP
18.8963, 2015, Sep Average, Spain, ESP
14.7707, 2015, Oct Average, Spain, ESP
11.0535, 2015, Nov Average, Spain, ESP
8.40753, 2015, Dec Average, Spain, ESP
7.93758, 2016, Jan Average, Spain, ESP
7.97624, 2016, Feb Average, Spain, ESP
8.73532, 2016, Mar Average, Spain, ESP
11.2886, 2016, Apr Average, Spain, ESP
14.9551, 2016, May Average, Spain, ESP
20.1408, 2016, Jun Average, Spain, ESP
23.4815, 2016, Jul Average, Spain, ESP
23.6965, 2016, Aug Average, Spain, ESP
20.6296, 2016, Sep Average, Spain, ESP
15.5534, 2016, Oct Average, Spain, ESP
9.63252, 2016, Nov Average, Spain, ESP
7.37377, 2016, Dec Average, Spain, ESP
